Rank,Player Name,Team,Position,ECR,vs. ECR
1,Todd Gurley,LAR,RB,1,0 
2,Le'Veon Bell,PIT,RB,2,0 
3,Ezekiel Elliott,DAL,RB,3,0 
4,David Johnson,ARI,RB,4,0 
5,Antonio Brown,PIT,WR,5,0 
6,Alvin Kamara,NO,RB,7,1 
7,Saquon Barkley,NYG,RB,8,1 
8,Odell Beckham Jr,NYG,WR,9,1 
9,Kareem Hunt,KC,RB,10,1 
10,Melvin Gordon,LAC,RB,13,3 
11,DeAndre Hopkins,HOU,WR,6,-5  
12,Julio Jones,ATL,WR,11,-1  
13,Dalvin Cook,MIN,RB,15,2 
14,Michael Thomas,NO,WR,14,0 
15,Keenan Allen,LAC,WR,16,1 
16,Leonard Fournette,JAC,RB,12,-4  
17,A.J. Green,CIN,WR,17,0 
18,Devonta Freeman,ATL,RB,19,1 
19,Davante Adams,GB,WR,18,-1  
20,Mike Evans,TB,WR,22,2 
21,T.Y. Hilton,IND,WR,26,5 
22,Rob Gronkowski,NE,TE,23,1 
23,Christian McCaffrey,CAR,RB,24,1 
24,Doug Baldwin,SEA,WR,27,3 
25,Joe Mixon,CIN,RB,25,0 
26,Stefon Diggs,MIN,WR,30,4 
27,Jerick McKinnon,SF,RB,21,-6  
28,Travis Kelce,KC,TE,29,1 
29,Adam Thielen,MIN,WR,28,-1  
30,Larry Fitzgerald,ARI,WR,38,8 
31,Jordan Howard,CHI,RB,20,-11 
32,Derrius Guice,WAS,RB,33,1 
33,Kenyan Drake,MIA,RB,37,4 
34,Zach Ertz,PHI,TE,42,8 
35,Amari Cooper,OAK,WR,35,0 
36,Aaron Rodgers,GB,QB,36,0 
37,Allen Robinson,CHI,WR,41,4 
38,Tyreek Hill,KC,WR,31,-7  
39,JuJu Smith-Schuster,PIT,WR,45,6 
40,Alshon Jeffery,PHI,WR,40,0 
41,Demaryius Thomas,DEN,WR,43,2 
42,Golden Tate,DET,WR,47,5 
43,Brandin Cooks,LAR,WR,52,9 
44,Jay Ajayi,PHI,RB,39,-5  
45,Alex Collins,BAL,RB,34,-11 
46,Rashaad Penny,SEA,RB,50,4 
47,Russell Wilson,SEA,QB,51,4 
48,Tom Brady,NE,QB,53,5 
49,Marvin Jones,DET,WR,48,-1  
50,Royce Freeman,DEN,RB,57,7 
51,Rex Burkhead,NE,RB,75,24  
52,Marshawn Lynch,OAK,RB,62,10  
53,Cam Newton,CAR,QB,58,5 
54,Drew Brees,NO,QB,71,17  
55,Delanie Walker,TEN,TE,79,24  
56,Lamar Miller,HOU,RB,46,-10 
57,Derrick Henry,TEN,RB,44,-13 
58,Dion Lewis,TEN,RB,55,-3  
59,Greg Olsen,CAR,TE,64,5 
60,Chris Hogan,NE,WR,63,3 
61,Sony Michel,NE,RB,68,7 
62,Jimmy Graham,GB,TE,69,7 
63,Deshaun Watson,HOU,QB,59,-4  
64,Andrew Luck,IND,QB,94,30  
65,Corey Davis,TEN,WR,65,0 
66,Michael Crabtree,BAL,WR,61,-5  
67,Emmanuel Sanders,DEN,WR,72,5 
68,Jarvis Landry,CLE,WR,60,-8  
69,Kerryon Johnson,DET,RB,93,24  
70,Mark Ingram,NO,RB,54,-16 
71,Sammy Watkins,KC,WR,66,-5  
72,Evan Engram,NYG,TE,73,1 
73,Randall Cobb,GB,WR,89,16  
74,Julian Edelman,NE,WR,101,27  
75,Ronald Jones II,TB,RB,56,-19 
76,Robby Anderson,NYJ,WR,78,2 
77,LeSean McCoy,BUF,RB,32,-45 
78,Tevin Coleman,ATL,RB,67,-11 
79,Pierre Garcon,SF,WR,76,-3  
80,Robert Woods,LAR,WR,77,-3  
81,Devante Parker,MIA,WR,92,11  
82,Josh Gordon,CLE,WR,49,-33 
83,Matthew Stafford,DET,QB,84,1 
84,Carson Wentz,PHI,QB,70,-14 
85,Jamaal Williams,GB,RB,95,10  
86,Devin Funchess,CAR,WR,74,-12 
87,Kenny Stills,MIA,WR,99,12  
88,Kirk Cousins,MIN,QB,80,-8  
89,Isaiah Crowell,NYJ,RB,82,-7  
90,Ben Roethlisberger,PIT,QB,90,0 
91,Trey Burton,CHI,TE,97,6 
92,Cooper Kupp,LAR,WR,85,-7  
93,Will Fuller,HOU,WR,87,-6  
94,Aaron Jones,GB,RB,119,25  
95,Kyle Rudolph,MIN,TE,81,-14 
96,Tarik Cohen,CHI,RB,105,9 
97,Jimmy Garoppolo,SF,QB,104,7 
98,Patrick Mahomes,KC,QB,112,14  
99,Jamison Crowder,WAS,WR,86,-13 
100,Jordy Nelson,OAK,WR,108,8 
101,Marquise Goodwin,SF,WR,88,-13 
102,Dez Bryant,FA,WR,160,58  
103,Marlon Mack,IND,RB,83,-20 
104,Philip Rivers,LAC,QB,98,-6  
105,Marcus Mariota,TEN,QB,115,10  
106,Nick Chubb,CLE,RB,117,11  
107,Duke Johnson,CLE,RB,107,0 
108,Carlos Hyde,CLE,RB,96,-12 
109,George Kittle,SF,TE,118,9 
110,Matt Ryan,ATL,QB,110,0 
111,Chris Thompson,WAS,RB,102,-9  
112,Jordan Reed,WAS,TE,103,-9  
113,Alex Smith,WAS,QB,122,9 
114,Rishard Matthews,TEN,WR,111,-3  
115,Kelvin Benjamin,BUF,WR,109,-6  
116,C.J. Anderson,CAR,RB,91,-25 
117,Corey Clement,PHI,RB,136,19  
118,Mitch Trubisky,CHI,QB,146,28  
119,Nelson Agholor,PHI,WR,100,-19 
120,Sterling Shepard,NYG,WR,106,-14 
121,David Njoku,CLE,TE,129,8 
122,Josh Doctson,WAS,WR,124,2 
123,O.J. Howard,TB,TE,134,11  
124,Jared Goff,LAR,QB,116,-8  
125,Giovani Bernard,CIN,RB,126,1 
126,Latavius Murray,MIN,RB,140,14  
127,Kenny Golladay,DET,WR,125,-2  
128,Paul Richardson,WAS,WR,150,22  
129,Jacksonville Jaguars,JAC,DST,141,12  
130,Dak Prescott,DAL,QB,127,-3  
131,Derek Carr,OAK,QB,147,16  
132,Jared Cook,OAK,TE,158,26  
133,Minnesota Vikings,MIN,DST,155,22  
134,Allen Hurns,DAL,WR,114,-20 
135,Nyheim Hines,IND,RB,165,30  
136,D.J. Moore,CAR,WR,128,-8  
137,Chris Ivory,BUF,RB,180,43  
138,Philadelphia Eagles,PHI,DST,164,26  
139,Jack Doyle,IND,TE,121,-18 
140,DeSean Jackson,TB,WR,123,-17 
141,Ty Montgomery,GB,RB,130,-11 
142,Eric Ebron,IND,TE,148,6 
143,Houston Texans,HOU,DST,173,30  
144,Tyrell Williams,LAC,WR,149,5 
145,Marqise Lee,JAC,WR,113,-32 
146,Chris Carson,SEA,RB,137,-9  
147,Cameron Meredith,NO,WR,133,-14 
148,Los Angeles Chargers,LAC,DST,174,26  
149,Mike Wallace,PHI,WR,181,32  
150,Eli Manning,NYG,QB,162,12  
151,Peyton Barber,TB,RB,168,17  
152,Mike Williams,LAC,WR,156,4 
153,Los Angeles Rams,LAR,DST,172,19  
154,Tyler Lockett,SEA,WR,131,-23 
155,Frank Gore,MIA,RB,170,15  
156,Michael Gallup,DAL,WR,167,11  
157,Jameis Winston,TB,QB,178,21  
158,James White,NE,RB,144,-14 
159,Tyler Eifert,CIN,TE,135,-24 
160,Mohamed Sanu,ATL,WR,143,-17 
161,Anthony Miller,CHI,WR,161,0 
162,Jordan Wilkins,IND,RB,193,31  
163,Calvin Ridley,ATL,WR,153,-10 
164,Baltimore Ravens,BAL,DST,184,20  
165,Stephen Gostkowski,NE,K,186,21  
166,Charles Clay,BUF,TE,159,-7  
167,Matt Breida,SF,RB,154,-13 
168,Benjamin Watson,NO,TE,189,21  
169,Matt Bryant,ATL,K,205,36  
170,Austin Ekeler,LAC,RB,188,18  
171,Justin Tucker,BAL,K,196,25  
172,Blake Bortles,JAC,QB,145,-27 
173,New Orleans Saints,NO,DST,206,33  
174,Ryan Tannehill,MIA,QB,190,16  
175,Ted Ginn,NO,WR,151,-24 
176,Devontae Booker,DEN,RB,120,-56 
177,Greg Zuerlein,LAR,K,198,21  
178,Keelan Cole,JAC,WR,185,7 
179,Theo Riddick,DET,RB,138,-41 
180,Case Keenum,DEN,QB,171,-9  
181,Matt Prater,DET,K,226,45  
182,New England Patriots,NE,DST,201,19  
183,Denver Broncos,DEN,DST,176,-7  
184,Doug Martin,OAK,RB,163,-21 
185,Cameron Brate,TB,TE,142,-43 
186,Jake Elliott,PHI,K,223,37  
187,John Ross,CIN,WR,212,25  
188,Carolina Panthers,CAR,DST,211,23  
189,Eric Decker,NE,WR,276,87  
190,LeGarrette Blount,DET,RB,152,-38 
191,Chris Godwin,TB,WR,183,-8  
192,Seattle Seahawks,SEA,DST,200,8 
193,T.J. Yeldon,JAC,RB,203,10  
194,Chicago Bears,CHI,DST,231,37  
195,Ricky Seals-Jones,ARI,TE,177,-18 
196,Kalen Ballage,MIA,RB,240,44  
197,Austin Seferian-Jenkins,JAC,TE,169,-28 
198,Mason Crosby,GB,K,250,52  
199,Martavis Bryant,OAK,WR,157,-42 
200,Andy Dalton,CIN,QB,166,-34 
201,Tennessee Titans,TEN,DST,280,79  
202,Kansas City Chiefs,KC,DST,215,13  
203,Dan Bailey,DAL,K,230,27  
204,Austin Hooper,ATL,TE,191,-13 
205,Bilal Powell,NYJ,RB,132,-73 
206,D'Onta Foreman,HOU,RB,139,-67 
207,Spencer Ware,KC,RB,210,3 
208,John Brown,BAL,WR,194,-14 
209,Darren Sproles,PHI,RB,224,15  
210,Christian Kirk,ARI,WR,199,-11 
211,Vance McDonald,PIT,TE,192,-19 
212,Lamar Jackson,BAL,QB,278,66  
213,Donte Moncrief,JAC,WR,182,-31 
214,Pittsburgh Steelers,PIT,DST,213,-1  
215,Gerald Everett,LAR,TE,304,89  
216,Adam Vinatieri,IND,K,313,97  
217,James Washington,PIT,WR,227,10  
218,Cairo Santos,NYJ,K,335,117 
219,Taywan Taylor,TEN,WR,225,6 
220,Wil Lutz,NO,K,219,-1  
221,Atlanta Falcons,ATL,DST,237,16  
222,Javorius Allen,BAL,RB,217,-5  
223,Geronimo Allison,GB,WR,195,-28 
224,Zay Jones,BUF,WR,238,14  
225,Courtland Sutton,DEN,WR,228,3 
226,Kenneth Dixon,BAL,RB,187,-39 
227,Brandon McManus,DEN,K,288,61  
228,Danny Amendola,MIA,WR,214,-14 
229,Dede Westbrook,JAC,WR,175,-54 
230,Tyrod Taylor,CLE,QB,202,-28 
231,Chase Edmonds,ARI,RB,263,32  
232,Corey Grant,JAC,RB,246,14  
233,Cincinnati Bengals,CIN,DST,265,32  
234,Quincy Enunwa,NYJ,WR,179,-55 
235,Chris Boswell,PIT,K,234,-1  
236,Jaylen Samuels,PIT,TE,373,137 
237,Virgil Green,LAC,TE,324,87  
238,Vernon Davis,WAS,TE,286,48  
239,Graham Gano,CAR,K,275,36  
240,Green Bay Packers,GB,DST,255,15  
241,Joe Flacco,BAL,QB,243,2 
242,Rod Smith,DAL,RB,273,31  
243,Albert Wilson,MIA,WR,209,-34 
244,Corey Coleman,BUF,WR,204,-40 
245,Tampa Bay Buccaneers,TB,DST,359,114 
246,Adrian Peterson,FA,RB,385,139 
247,Terrance Williams,DAL,WR,207,-40 
248,Josh Rosen,ARI,QB,289,41  
249,Jonathan Stewart,NYG,RB,220,-29 
250,Brandon Marshall,SEA,WR,239,-11 
251,Joe Williams,SF,RB,349,98  
252,Jeremy Hill,NE,RB,256,4 
253,Jeremy Kerley,BUF,WR,322,69  
254,Baker Mayfield,CLE,QB,262,8 
255,John Kelly,LAR,RB,249,-6  
256,Jaron Brown,SEA,WR,323,67  
257,Willie Snead,BAL,WR,253,-4  
258,Luke Willson,DET,TE,257,-1  
259,Taylor Gabriel,CHI,WR,281,22  
260,C.J. Prosise,SEA,RB,252,-8  
261,Cordarrelle Patterson,NE,WR,400,139 
262,Dante Pettis,SF,WR,232,-30 
263,Tyler Boyd,CIN,WR,352,89  
264,Alfred Blue,HOU,RB,334,70  
